FileName;Group;ShortName
GSM4403407_20160202_HE59MO_HG-U133_Plus_2_.CEL;MM;MM1
GSM4403408_20160202_TG55MO_HG-U133_Plus_2_.CEL;MM;MM2
GSM4403409_20160202_VG67MO_HG-U133_Plus_2_.CEL;MM;MM3
GSM4403410_20160204_GJL55_MO_HG-U133_Plus_2_.CEL;MM;MM4
GSM4403411_20170124_1804_HG-U133_Plus_2_.CEL;MM;MM5
GSM4403412_20170124_6035_HG-U133_Plus_2_.CEL;MM;MM6
GSM4403419_20171107_MOS_1_HG-U133_Plus_2_.CEL;HD;HD1
GSM4403420_20171107_MOS_2_HG-U133_Plus_2_.CEL;HD;HD2
GSM4403421_20171107_MOS_3_HG-U133_Plus_2_.CEL;HD;HD3
GSM4403422_20171107_MOS4_HG-U133_Plus_2_.CEL;HD;HD4
GSM4403423_20171107_MOS5_HG-U133_Plus_2_.CEL;HD;HD5
GSM4403424_20171107_MOS6_HG-U133_Plus_2_.CEL;HD;HD6
GSM4403425_20171107_MOS7_HG-U133_Plus_2_.CEL;HD;HD7
GSM4403426_20171107_MOS8_HG-U133_Plus_2_.CEL;HD;HD8
GSM4403427_20171107_MOS9_HG-U133_Plus_2_.CEL;HD;HD9
GSM4403428_20171107_VAMST_HG-U133_Plus_2_.CEL;HD;HD10
GSM4403442_CSM-1390_HG-U133_Plus_2_.CEL;MM;MM7
GSM4403443_CSM-2406_HG-U133_Plus_2_.CEL;MM;MM8
GSM4403444_CSM-3151_HG-U133_Plus_2_.CEL;MM;MM9
GSM4403445_CSM-3210_HG-U133_Plus_2_.CEL;MM;MM10
GSM4403446_CSM-3871_HG-U133_Plus_2_.CEL;MM;MM11
GSM4403447_CSM-4043_HG-U133_Plus_2_.CEL;MM;MM12
