FileName;Group;ShortName
GSM1122628_21mscSoD_0013.CEL;HD;HD1
GSM1122629_22mscSoD_0014.CEL;HD;HD2
GSM1122630_23mscSoD_0015.CEL;HD;HD3
GSM1122631_24mscSoD_0016.CEL;HD;HD4
GSM1122632_25mscSoD_0017.CEL;HD;HD5
GSM1122633_26mscSoD_0018.CEL;HD;HD6
GSM1122634_27mscSoD_0019.CEL;HD;HD7
GSM1122635_28mscSoD_8417.CEL;HD;HD8
GSM1122608_01mscCoD_0013.CEL;MM;MM1
GSM1122609_02mscCoD_0014.CEL;MM;MM2
GSM1122610_03mscCoD_0015.CEL;MM;MM3
GSM1122611_04mscCoD_0016.CEL;MM;MM4
GSM1122612_05mscCoD_0017.CEL;MM;MM5
GSM1122613_06mscCoD_0018.CEL;MM;MM6
GSM1122614_07mscCoD_0019.CEL;MM;MM7
GSM1122615_08mscCoD_8417.CEL;MM;MM8
