FileName;Group;ShortName
GSM978562_NM2009030505.CEL;HD;HD1
GSM978563_NM2009030507.CEL;HD;HD2
GSM978564_NM2009032406.CEL;HD;HD3
GSM978565_NM2009042816.CEL;HD;HD4
GSM978566_NM2009042817.CEL;HD;HD5
GSM978567_NM2009042818.CEL;HD;HD6
GSM978568_SPORE_MM_0618_3.CEL;MM;MM1
GSM978569_SPORE_MM_0741_3.CEL;MM;MM2
GSM978570_SPORE_MM_0757_3.CEL;MM;MM3
GSM978571_SPORE_MM_0825_3.CEL;MM;MM4
GSM978572_SPORE_MM_0834_3.CEL;MM;MM5
GSM978573_SPORE_MM_0846_3.CEL;MM;MM6
GSM978574_SPORE_MM_0865_3.CEL;MM;MM7
GSM978575_SPORE_MM_0887_3.CEL;MM;MM8
GSM978576_SPORE_MM_0891_3.CEL;MM;MM9
GSM978577_SPORE_MM_0943_3.CEL;MM;MM10
GSM978578_SPORE_MM_0998_3.CEL;MM;MM11
GSM978579_SPORE_MM_1012_3.CEL;MM;MM12
GSM978580_SPORE_MM_1014_3.CEL;MM;MM13
GSM978581_SPORE_MM_1022_3.CEL;MM;MM14
GSM978582_SPORE_MM_1032_3.CEL;MM;MM15
GSM978583_SPORE_MM_1066_3.CEL;MM;MM16
GSM978584_SPORE_MM_1086_3.CEL;MM;MM17
GSM978585_SPORE_MM_1108_3.CEL;MM;MM18
GSM978586_SPORE_MM_1121_3.CEL;MM;MM19
GSM978587_SPORE_MM_1225_3.CEL;MM;MM20
GSM978588_SPORE_MM_1244_3.CEL;MM;MM21
GSM978589_SPORE_MM_1269_3.CEL;MM;MM22
GSM978590_SPORE_MM_1306_3.CEL;MM;MM23
GSM978591_SPORE_MM_1384_3.CEL;MM;MM24
GSM978592_SPORE_MM_1432_3.CEL;MM;MM25
GSM978593_SPORE_MM_1469_3.CEL;MM;MM26
GSM978594_SPORE_MM_1479_3.CEL;MM;MM27
GSM978595_SPORE_MM_1488_3.CEL;MM;MM28
GSM978596_SPORE_MM_1509_3.CEL;MM;MM29
GSM978597_SPORE_MM_1612_3.CEL;MM;MM30
GSM978598_SPORE_MM_1616_3.CEL;MM;MM31
GSM978599_SPORE_MM_1630_3.CEL;MM;MM32
GSM978600_SPORE_MM_1631_3.CEL;MM;MM33
GSM978601_SPORE_MM_1641_3.CEL;MM;MM34
GSM978602_SPORE_MM_1661_3.CEL;MM;MM35
GSM978603_SPORE_MM_1666_3.CEL;MM;MM36
GSM978604_SPORE_MM_1678_3.CEL;MM;MM37
GSM978605_SPORE_MM_1679_3.CEL;MM;MM38
GSM978606_SPORE_MM_1717_3.CEL;MM;MM39
GSM978607_SPORE_MM_1729_3.CEL;MM;MM40
GSM978608_SPORE_MM_1765_3.CEL;MM;MM41
GSM978609_SPORE_MM_1775_3.CEL;MM;MM42
GSM978610_SPORE_MM_1890_3.CEL;MM;MM43
GSM978611_SPORE_MM_1898_3.CEL;MM;MM44
GSM978612_SPORE_MM_1917_3.CEL;MM;MM45
GSM978613_SPORE_MM_1918_3.CEL;MM;MM46
GSM978614_SPORE_MM_1926_3.CEL;MM;MM47
GSM978615_SPORE_MM_1930_3.CEL;MM;MM48
GSM978616_SPORE_MM_1959_3.CEL;MM;MM49
GSM978617_SPORE_MM_1960_3.CEL;MM;MM50
GSM978618_SPORE_MM_1961_3.CEL;MM;MM51
GSM978619_SPORE_MM_1969_3.CEL;MM;MM52
GSM978620_SPORE_MM_1972_3.CEL;MM;MM53
GSM978621_SPORE_MM_2011_3.CEL;MM;MM54
GSM978622_SPORE_MM_2021_3.CEL;MM;MM55
GSM978623_SPORE_MM_2229_3.CEL;MM;MM56
GSM978624_SPORE_MM_2236_3.CEL;MM;MM57
GSM978625_SPORE_MM_2301_3.CEL;MM;MM58
GSM978626_SPORE_MM_2331_3.CEL;MM;MM59
GSM978627_SPORE_MM_2351_3.CEL;MM;MM60
GSM978628_SPORE_MM_2369_3.CEL;MM;MM61
GSM978629_SPORE_MM_2384_3.CEL;MM;MM62
GSM978630_SPORE_MM_2424_3.CEL;MM;MM63
GSM978631_SPORE_MM_2438_3.CEL;MM;MM64
GSM978632_SPORE_MM_2475_3.CEL;MM;MM65
GSM978633_SPORE_MM_2482_3.CEL;MM;MM66
GSM978634_SPORE_MM_2490_3.CEL;MM;MM67
GSM978635_SPORE_MM_2508_3.CEL;MM;MM68
GSM978636_SPORE_MM_2516_3.CEL;MM;MM69
GSM978637_SPORE_MM_2526_3.CEL;MM;MM70
GSM978638_SPORE_MM_2530_3.CEL;MM;MM71
GSM978639_SPORE_MM_2548_3.CEL;MM;MM72
GSM978640_SPORE_MM_2552_3.CEL;MM;MM73
GSM978641_SPORE_MM_2554_3.CEL;MM;MM74
GSM978642_SPORE_MM_2567_3.CEL;MM;MM75
GSM978643_SPORE_MM_2570_3.CEL;MM;MM76
GSM978644_SPORE_MM_2571_3.CEL;MM;MM77
GSM978645_SPORE_MM_2583_3.CEL;MM;MM78
GSM978646_SPORE_MM_2660_3.CEL;MM;MM79
GSM978647_SPORE_MM_2667_3.CEL;MM;MM80
GSM978648_SPORE_MM_2668_3.CEL;MM;MM81
