FileName;Group;ShortName
GSM3355482;MM;MM1
GSM3355483;MM;MM2
GSM3355484;MM;MM3
GSM3355485;MM;MM4
GSM3355486;MM;MM5
GSM3355487;MM;MM6
GSM3355488;MM;MM7
GSM3355489;MM;MM8
GSM3355490;MM;MM9
GSM3355491;MM;MM10
GSM3355492;MM;MM11
GSM3355493;MM;MM12
GSM3355494;MM;MM13
GSM3355495;MM;MM14
GSM3355496;MM;MM15
GSM3355497;MM;MM16
GSM3355498;MM;MM17
GSM3355499;MM;MM18
GSM3355500;MM;MM19
GSM3355501;MM;MM20
GSM3355502;MM;MM21
GSM3355503;MM;MM22
GSM3355504;MM;MM23
GSM3355505;MM;MM24
GSM3355506;MM;MM25
GSM3355507;MM;MM26
GSM3355508;MM;MM27
GSM3355509;MM;MM28
GSM3355511;MM;MM29
GSM3355512;MM;MM30
GSM3355513;MM;MM31
GSM3355514;MM;MM32
GSM3355515;MM;MM33
GSM3355516;MM;MM34
GSM3355517;MM;MM35
GSM3355518;MM;MM36
GSM3355519;MM;MM37
GSM3355520;MM;MM38
GSM3355521;MM;MM39
GSM3355522;MM;MM40
GSM3355523;MM;MM41
GSM3355524;MM;MM42
GSM3355525;MM;MM43
GSM3355527;MM;MM44
GSM3355528;MM;MM45
GSM3355529;MM;MM46
GSM3355530;MM;MM47
GSM3355531;MM;MM48
GSM3355532;MM;MM49
GSM3355533;MM;MM50
GSM3355534;MM;MM51
GSM3355535;MM;MM52
GSM3355536;MM;MM53
GSM3355537;MM;MM54
GSM3355538;MM;MM55
GSM3355539;MM;MM56
GSM3355540;MM;MM57
GSM3355541;MM;MM58
GSM3355542;MM;MM59
GSM3355543;MM;MM60
GSM3355544;MM;MM61
GSM3355545;MM;MM62
GSM3355546;MM;MM63
GSM3355547;MM;MM64
GSM3355548;MM;MM65
GSM3355549;MM;MM66
GSM3355550;MM;MM67
GSM3355551;MM;MM68
GSM3355552;MM;MM69
GSM3355553;MM;MM70
GSM3355554;MM;MM71
GSM3355555;MM;MM72
GSM3355556;MM;MM73
GSM3355557;MM;MM74
GSM3355558;MM;MM75
GSM3355559;MM;MM76
GSM3355560;MM;MM77
GSM3355561;MM;MM78
GSM3355562;MM;MM79
GSM3355563;MM;MM80
GSM3355564;MM;MM81
GSM3355565;MM;MM82
GSM3355566;MM;MM83
GSM3355567;MM;MM84
GSM3355568;MM;MM85
GSM3355569;MM;MM86
GSM3355570;MM;MM87
GSM3355571;HD;HD1
GSM3355572;MM;MM88
GSM3355573;MM;MM89
GSM3355574;MM;MM90
GSM3355575;MM;MM91
GSM3355576;MM;MM92
GSM3355577;MM;MM93
GSM3355578;MM;MM94
GSM3355579;MM;MM95
GSM3355580;HD;HD2
GSM3355581;MM;MM96
GSM3355582;MM;MM97
GSM3355583;MM;MM98
GSM3355584;MM;MM99
GSM3355585;MM;MM100
GSM3355586;MM;MM101
GSM3355587;MM;MM102
GSM3355588;MM;MM103
GSM3355589;MM;MM104
GSM3355590;MM;MM105
GSM3355591;MM;MM106
GSM3355592;MM;MM107
GSM3355593;MM;MM108
GSM3355594;MM;MM109
GSM3355595;MM;MM110
GSM3355596;MM;MM111
GSM3355597;MM;MM112
GSM3355598;MM;MM113
GSM3355599;MM;MM114
GSM3355600;MM;MM115
GSM3355601;MM;MM116
GSM3355602;MM;MM117
GSM3355603;MM;MM118
GSM3355604;MM;MM119
GSM3355605;MM;MM120
GSM3355606;MM;MM121
GSM3355607;MM;MM122
GSM3355608;MM;MM123
GSM3355610;MM;MM124
GSM3355611;MM;MM125
GSM3355612;MM;MM126
GSM3355613;MM;MM127
GSM3355614;MM;MM128
GSM3355615;MM;MM129
GSM3355616;MM;MM130
GSM3355617;MM;MM131
GSM3355618;MM;MM132
GSM3355619;MM;MM133
GSM3355620;MM;MM134
GSM3355621;MM;MM135
GSM3355622;MM;MM136
GSM3355623;MM;MM137
GSM3355624;MM;MM138
GSM3355625;MM;MM139
GSM3355626;MM;MM140
GSM3355627;MM;MM141
GSM3355628;MM;MM142
GSM3355629;MM;MM143
GSM3355630;MM;MM144
GSM3355631;MM;MM145
GSM3355632;MM;MM146
GSM3355633;MM;MM147
GSM3355634;MM;MM148
GSM3355635;MM;MM149
GSM3355636;MM;MM150
GSM3355637;MM;MM151
GSM3355638;MM;MM152
GSM3355639;MM;MM153
GSM3355640;MM;MM154
GSM3355641;MM;MM155
GSM3355642;MM;MM156
GSM3355643;MM;MM157
GSM3355644;MM;MM158
