FileName;Group;ShortName
GSM2321717_OPC918_ctrl_HG-U133_Plus_2_.CEL;HD;HD1
GSM2321718_OPC941_ctrl_HG-U133_Plus_2_.CEL;HD;HD2
GSM2321719_OPC946_ctrl_HG-U133_Plus_2_.CEL;HD;HD3
GSM2321720_OPC947_ctrl_HG-U133_Plus_2_.CEL;HD;HD4
GSM2321721_OPC949_ctrl_HG-U133_Plus_2_.CEL;HD;HD5
GSM2321722_OPC918_koku_HG-U133_Plus_2_.CEL;MM;MM1
GSM2321723_OPC941_koku_HG-U133_Plus_2_.CEL;MM;MM2
GSM2321724_OPC946_koku_HG-U133_Plus_2_.CEL;MM;MM3
GSM2321725_OPC947_koku_HG-U133_Plus_2_.CEL;MM;MM4
GSM2321726_OPC949_koku_HG-U133_Plus_2_.CEL;MM;MM5
