FileName;Group;ShortName
GSM1152309_M687.CEL;MM;MM1
GSM1152310_M724.CEL;MM;MM2
GSM1152311_M758.CEL;MM;MM3
GSM1152312_M786.CEL;MM;MM4
GSM1152313_M797.CEL;MM;MM5
GSM1152314_M801.CEL;MM;MM6
GSM1152315_M813.CEL;MM;MM7
GSM1152316_M828.CEL;MM;MM8
GSM1152317_M832.CEL;MM;MM9
GSM1152318_M833.CEL;MM;MM10
GSM1152319_M856.CEL;MM;MM11
GSM1152320_M880.CEL;MM;MM12
GSM1152321_M896.CEL;MM;MM13
GSM1152322_M906.CEL;MM;MM14
GSM1152323_M942.CEL;MM;MM15
GSM1152324_M956.CEL;MM;MM16
GSM1152325_M988.CEL;MM;MM17
GSM1152326_M995.CEL;MM;MM18
GSM1152327_M1017.CEL;MM;MM19
GSM1152328_M1018.CEL;MM;MM20
GSM1152329_M1028.CEL;MM;MM21
GSM1152330_M1037.CEL;MM;MM22
GSM1152331_M1041.CEL;MM;MM23
GSM1152332_M1042.CEL;MM;MM24
GSM1152333_M1049.CEL;MM;MM25
GSM1152334_M1051.CEL;MM;MM26
GSM1152335_M1054.CEL;MM;MM27
GSM1152336_M1062.CEL;MM;MM28
GSM1152337_M1070.CEL;MM;MM29
GSM1152338_M1081.CEL;MM;MM30
GSM1152339_M1089.CEL;MM;MM31
GSM1152340_M1093.CELL;MM;MM32
GSM1152341_M1094.CEL;MM;MM33
GSM1152342_M1105.CEL;MM;MM34
GSM1152343_M1111.CEL;MM;MM35
GSM1152344_M1117.CEL;MM;MM36
GSM1152345_M1134.CEL;MM;MM37
GSM1152346_M1137.CEL;MM;MM38
GSM1152347_M1142.CEL;MM;MM39
GSM1152348_M1148.CEL;MM;MM40
GSM1152349_M1155.CEL;MM;MM41
GSM1152350_N1351.CEL;HD;HD1
GSM1152351_N1362.CEL;HD;HD2
GSM1152352_N1588.CEL;HD;HD3
GSM1152353_N1610.CEL;HD;HD4
GSM1152354_N1645.CEL;HD;HD5
