FileName;Group;ShortName
GSM3355482_P1132-01-BS2383-U133Plus-2.cel;MM;MM1
GSM3355483_P1130-01-BS2302-U133Plus-2.cel;MM;MM2
GSM3355484_P1003-05-BS1581-U133Plus-2.cel;MM;MM3
GSM3355485_P0995-03-BS1694-U133Plus-2.cel;MM;MM4
GSM3355486_P1063-05-BS1489-U133Plus-2.cel;MM;MM5
GSM3355487_P1053-07-BS1189-U133Plus-2.cel;MM;MM6
GSM3355488_P1027-07-BS1611-U133Plus-2.cel;MM;MM7
GSM3355489_P1158-01-BS1627-U133Plus-2.cel;MM;MM8
GSM3355490_P1069-00-BS1807-U133Plus-2.cel;MM;MM9
GSM3355491_P1068-00-BS1688-U133Plus-2.cel;MM;MM10
GSM3355492_P1064-00-BS1502-U133Plus-2.cel;MM;MM11
GSM3355493_P1023-02-BS1533-U133Plus-2.cel;MM;MM12
GSM3355494_P1010-00-BS1592-U133Plus-2.cel;MM;MM13
GSM3355495_P0993-01-BS1527-U133Plus-2.cel;MM;MM14
GSM3355496_P0990-00-BS1465-U133Plus-2.cel;MM;MM15
GSM3355497_P1113-03-BS2092-U133Plus-2.cel;MM;MM16
GSM3355498_P1141-04-BS2111-U133Plus-2.cel;MM;MM17
GSM3355499_P1086-05-BS1873-U133Plus-2.cel;MM;MM18
GSM3355500_P1070-03-BS1946-U133Plus-2.cel;MM;MM19
GSM3355501_P1112-03-BS2090-U133Plus-2.cel;MM;MM20
GSM3355502_P1117-03-BS2133-U133Plus-2.cel;MM;MM21
GSM3355503_P1120-03-BS1293-U133Plus-2.cel;MM;MM22
GSM3355504_P1142-03-BS2131-U133Plus-2.cel;MM;MM23
GSM3355505_P1143-04-BS1890-U133Plus-2.cel;MM;MM24
GSM3355506_P1144-04-BS2162-U133Plus-2.cel;MM;MM25
GSM3355507_P1079-04-BS2012-U133Plus-2.cel;MM;MM26
GSM3355508_P1088-04-BS1985-U133Plus-2.cel;MM;MM27
GSM3355509_P1145-00-BS2271-U133Plus-2.cel;MM;MM28
GSM3355511_P1093-04-BS2217-U133Plus-2.cel;MM;MM29
GSM3355512_P1081-07-BS2013-U133Plus-2.cel;MM;MM30
GSM3355513_P1171-00-BS2531-U133Plus-2.cel;MM;MM31
GSM3355514_P1138-03-BS2236-U133Plus-2.cel;MM;MM32
GSM3355515_P1183-02-BS2259-U133Plus-2.cel;MM;MM33
GSM3355516_P1100-00-BS2287-U133Plus-2.cel;MM;MM34
GSM3355517_P1184-02-BS2658-U133Plus-2.cel;MM;MM35
GSM3355518_P1224-03-BS2977-U133Plus-2.cel;MM;MM36
GSM3355519_P1248-04-BS2916-U133Plus-2.cel;MM;MM37
GSM3355520_P1263-04-BS2878-U133Plus-2.cel;MM;MM38
GSM3355521_P1271-02-BS3149-U133Plus-2.cel;MM;MM39
GSM3355522_P0521-00-BS1791-U133Plus-2.cel;MM;MM40
GSM3355523_P1101-05-BS2338-U133Plus-2.cel;MM;MM41
GSM3355524_P1119-00-BS2385-U133Plus-2.cel;MM;MM42
GSM3355525_P1167-05-BS2384-U133Plus-2.txt;MM;MM43
GSM3355527_P1169-04-BS2505-U133Plus-2.cel;MM;MM44
GSM3355528_P1164-00-BS2419-U133Plus-2.cel;MM;MM45
GSM3355529_P1174-00-BS2558-U133Plus-2.cel;MM;MM46
GSM3355530_P1175-00-BS2160-U133Plus-2.cel;MM;MM47
GSM3355531_P1166-00-BS2357-U133Plus-2.cel;MM;MM48
GSM3355532_P1177-04-BS2660-U133Plus-2.cel;MM;MM49
